Id,City,2000 population,2010 population,2014 population estimate
1600000US0952000,"New Haven, Connecticut",123626,129779,130285
1600000US0973000,"Stamford, Connecticut",117083,122643,128283
1600000US0980000,"Waterbury, Connecticut",107271,110366,109311
1600000US1150000,"Washington, District of Columbia",572059,601723,658893
1600000US1208150,"Brandon, Florida",77895,103483,105125
1600000US1210275,"Cape Coral, Florida",102286,154305,169855
1600000US1212875,"Clearwater, Florida",108787,107685,110709
1600000US1214400,"Coral Springs, Florida",117549,121096,127963
1600000US1224000,"Fort Lauderdale, Florida",152397,165521,176018
1600000US1225175,"Gainesville, Florida",95447,124354,128474
1600000US1230000,"Hialeah, Florida",226419,224669,235566
1600000US1232000,"Hollywood, Florida",139357,140768,148040
1600000US1235000,"Jacksonville, Florida",735617,821784,853376
1600000US1238250,"Lakeland, Florida",78452,97422,102335
1600000US1239925,"Lehigh Acres, Florida",33430,86784,111416
1600000US1245000,"Miami, Florida",362470,399457,430341
1600000US1245975,"Miramar, Florida",72739,122041,134991
1600000US1253000,"Orlando, Florida",185951,238300,262396
1600000US1254000,"Palm Bay, Florida",79413,103190,105845
1600000US1255775,"Pembroke Pines, Florida",137427,154750,164625
1600000US1258050,"Pompano Beach, Florida",78191,99845,106115
1600000US1258715,"Port St. Lucie, Florida",88769,164603,174093
1600000US1263000,"St. Petersburg, Florida",248232,244769,253682
1600000US1270600,"Tallahassee, Florida",150624,181376,188106
1600000US1271000,"Tampa, Florida",303447,335709,358684
1600000US1276600,"West Palm Beach, Florida",82103,99919,104017
1600000US1303440,"Athens-Clarke County (balance), Georgia",100266,115452,119841
1600000US1304000,"Atlanta, Georgia",416474,420003,456012
1600000US1304204,"Augusta-Richmond County (balance), Georgia",195182,195844,197465
1600000US1368516,"Sandy Springs, Georgia",85781,93853,101914
1600000US1369000,"Savannah, Georgia",131510,136286,144355
1600000US1608830,"Boise City, Idaho",185787,205671,216280
1600000US1703012,"Aurora, Illinois",142990,197899,200708
1600000US1714000,"Chicago, Illinois",2896016,2695598,2722407
1600000US1723074,"Elgin, Illinois",94487,108188,116548
1600000US1738570,"Joliet, Illinois",106221,147433,146578
1600000US1751622,"Naperville, Illinois",128358,141853,145396
1600000US1759000,"Peoria, Illinois",112936,115007,117288
1600000US1765000,"Rockford, Illinois",150115,152871,148996
1600000US1772000,"Springfield, Illinois",111454,116250,116649
1600000US1822000,"Evansville, Indiana",121582,117429,121299
1600000US1825000,"Fort Wayne, Indiana",205727,253691,256023
1600000US1836003,"Indianapolis  (balance), Indiana",781870,820445,851353
1600000US1871000,"South Bend, Indiana",107789,101168,103019
1600000US1912000,"Cedar Rapids, Iowa",120758,126326,129183
1600000US1919000,"Davenport, Iowa",98359,99685,102431
1600000US1921000,"Des Moines, Iowa",198682,203433,209064
1600000US2036000,"Kansas City, Kansas",146866,145786,148323
1600000US2052575,"Olathe, Kansas",92962,125872,133059
1600000US2053775,"Overland Park, Kansas",149080,173372,184524
1600000US2071000,"Topeka, Kansas",122377,127473,127223
1600000US2079000,"Wichita, Kansas",344284,382368,388413
1600000US2146027,"Lexington-Fayette, Kentucky",260512,295803,310797
1600000US2205000,"Baton Rouge, Louisiana",227818,229493,228909
1600000US2240735,"Lafayette, Louisiana",110257,120623,126068
