Id,City,Population estimate
1600000US0681666,"Vallejo city, California",120210
1600000US4801000,"Abilene city, Texas",120176
1600000US1303440,"Athens-Clarke County unified government (balance), Georgia",119841
1600000US4202000,"Allentown city, Pennsylvania",119105
1600000US0606000,"Berkeley city, California",118851
1600000US4052500,"Norman city, Oklahoma",118046
1600000US2603000,"Ann Arbor city, Michigan",117759
1600000US4807000,"Beaumont city, Texas",117576
1600000US2935000,"Independence city, Missouri",117503
1600000US1759000,"Peoria city, Illinois",117288
1600000US0620802,"East Los Angeles CDP, California",117267
1600000US2915670,"Columbia city, Missouri",116892
1600000US1772000,"Springfield city, Illinois",116649
1600000US0622230,"El Monte city, California",116617
1600000US3825700,"Fargo city, North Dakota",116572
1600000US1723074,"Elgin city, Illinois",116548
1600000US4853388,"Odessa city, Texas",116394
1600000US4962470,"Provo city, Utah",114807
1600000US0619766,"Downey city, California",114168
1600000US0803455,"Arvada city, Colorado",113775
1600000US3774440,"Wilmington city, North Carolina",113676
1600000US2646000,"Lansing city, Michigan",113659
1600000US0616532,"Costa Mesa city, California",112793
1600000US0611194,"Carlsbad city, California",112310
1600000US1245060,"Miami Gardens city, Florida",112270
1600000US4863500,"Round Rock city, Texas",112196
1600000US0883835,"Westminster city, Colorado",112099
1600000US0636546,"Inglewood city, California",111901
1600000US1239925,"Lehigh Acres CDP, Florida",111416
1600000US2754880,"Rochester city, Minnesota",111398
1600000US0623182,"Fairfield city, California",111139
1600000US4982950,"West Jordan city, Utah",110917
1600000US1212875,"Clearwater city, Florida",110709
1600000US3345140,"Manchester city, New Hampshire",110451
1600000US2537000,"Lowell city, Massachusetts",109931
1600000US4131250,"Gresham city, Oregon",109877
1600000US2511000,"Cambridge city, Massachusetts",109699
1600000US0665042,"San Buenaventura (Ventura) city, California",109478
1600000US0678120,"Temecula city, California",109446
1600000US0980000,"Waterbury city, Connecticut",109311
1600000US0602252,"Antioch city, California",108953
1600000US3006550,"Billings city, Montana",108870
1600000US4861796,"Richardson city, Texas",108609
1600000US0660620,"Richmond city, California",108562
1600000US0684200,"West Covina city, California",108445
1600000US0862000,"Pueblo city, Colorado",108439
1600000US0650076,"Murrieta city, California",108371
1600000US4550875,"North Charleston city, South Carolina",107972
1600000US3731400,"High Point city, North Carolina",107957
1600000US0812815,"Centennial city, Colorado",107193
1600000US0652526,"Norwalk city, California",107111
1600000US5322640,"Everett city, Washington",106741
1600000US4009050,"Broken Arrow city, Oklahoma",106226
1600000US1258050,"Pompano Beach city, Florida",106115
1600000US0617918,"Daly City city, California",106099
1600000US1254000,"Palm Bay city, Florida",105845
1600000US0608954,"Burbank city, California",105366
1600000US1208150,"Brandon CDP, Florida",105125
1600000US4879000,"Wichita Falls city, Texas",105107
1600000US0807850,"Boulder city, Colorado",105101
1600000US5531000,"Green Bay city, Wisconsin",104893
1600000US4856348,"Pearland city, Texas",104759
1600000US1276600,"West Palm Beach city, Florida",104017
1600000US4815976,"College Station city, Texas",103486
1600000US0669196,"Santa Maria city, California",103414
1600000US0621712,"El Cajon city, California",103075
1600000US1871000,"South Bend city, Indiana",103019
1600000US0668252,"San Mateo city, California",102885
1600000US4872656,"The Woodlands CDP, Texas",102764
1600000US0660466,"Rialto city, California",102740
1600000US1919000,"Davenport city, Iowa",102431
1600000US1238250,"Lakeland city, Florida",102335
1600000US4842508,"Lewisville city, Texas",102283
1600000US0614218,"Clovis city, California",102190
1600000US1368516,"Sandy Springs city, Georgia",101914
1600000US4874144,"Tyler city, Texas",101436
1600000US3539380,"Las Cruces city, New Mexico",101405
1600000US0836410,"Highlands Ranch CDP, Colorado",100192
1600000US0602553,"Arden-Arcade CDP, California",99903
1600000US5539225,"Kenosha city, Wisconsin",99898
1600000US4224000,"Erie city, Pennsylvania",99466
1600000US5168000,"Roanoke city, Virginia",99428
1600000US4134100,"Hillsboro city, Oregon",99374
1600000US2629000,"Flint city, Michigan",98990
1600000US1268350,"Spring Hill CDP, Florida",98950
1600000US1216475,"Davie town, Florida",98905
1600000US0637692,"Jurupa Valley city, California",98843
1600000US0615044,"Compton city, California",98596
1600000US0832155,"Greeley city, Colorado",98593
1600000US3601000,"Albany city, New York",98566
1600000US5357745,"Renton city, Washington",98382
1600000US0682996,"Vista city, California",98086
1600000US2419125,"Columbia CDP, Maryland",97728
1600000US0648256,"Mission Viejo city, California",97231
1600000US4864472,"San Angelo city, Texas",97207
1600000US4041850,"Lawton city, Oklahoma",97017
1600000US0673080,"South Gate city, California",96299
1600000US0177256,"Tuscaloosa city, Alabama",96116
1600000US5164000,"Portsmouth city, Virginia",96004
1600000US0681554,"Vacaville city, California",95863
1600000US2621000,"Dearborn city, Michigan",95546
1600000US4105350,"Beaverton city, Oregon",95113
1600000US2649000,"Livonia city, Michigan",94959
1600000US2545000,"New Bedford city, Massachusetts",94855
1600000US2509000,"Brockton city, Massachusetts",94780
1600000US3268400,"Sparks city, Nevada",94704
1600000US2941348,"Lee's Summit city, Missouri",94627
1600000US0464210,"San Tan Valley CDP, Arizona",94390
1600000US4841980,"League City city, Texas",94287
1600000US4801924,"Allen city, Texas",94170
1600000US1367284,"Roswell city, Georgia",94073
1600000US5323515,"Federal Way city, Washington",93428
1600000US0485540,"Yuma city, Arizona",93399
1600000US2555745,"Quincy city, Massachusetts",93391
1600000US5380010,"Yakima city, Washington",93355
1600000US0611530,"Carson city, California",93272
1600000US3563460,"Rio Rancho city, New Mexico",93011
1600000US0670000,"Santa Monica city, California",92989
1600000US0668196,"San Marcos city, California",92910
1600000US0633434,"Hesperia city, California",92744
1600000US2537490,"Lynn city, Massachusetts",92137
1600000US0684550,"Westminster city, California",92062
1600000US4957300,"Orem city, Utah",91781
1600000US5367167,"Spokane Valley city, Washington",91733
1600000US1245025,"Miami Beach city, Florida",91721
1600000US0659920,"Redding city, California",91588
1600000US1257425,"Plantation city, Florida",91454
1600000US1207300,"Boca Raton city, Florida",91321
1600000US2038900,"Lawrence city, Kansas",91282
1600000US1269700,"Sunrise city, Florida",91256
1600000US0669070,"Santa Barbara city, California",91208
1600000US4967440,"Sandy city, Utah",91135
1600000US0845970,"Longmont city, Colorado",90189
1600000US3728080,"Greenville city, North Carolina",89850
1600000US3473110,"Toms River CDP, New Jersey",89490
1600000US0668084,"San Leandro city, California",89347
1600000US0613014,"Chico city, California",89187
1600000US1779293,"Waukegan city, Illinois",88998
1600000US2523000,"Fall River city, Massachusetts",88705
1600000US4023200,"Edmond city, Oklahoma",88594
1600000US2545560,"Newton city, Massachusetts",88298
1600000US1656260,"Nampa city, Idaho",88208
1600000US0955990,"Norwalk city, Connecticut",88144
1600000US3702140,"Asheville city, North Carolina",87884
1600000US1272145,"Town 'n' Country CDP, Florida",87874
1600000US4263624,"Reading city, Pennsylvania",87809
1600000US1652120,"Meridian city, Idaho",87739
1600000US0632548,"Hawthorne city, California",87591
1600000US0524550,"Fort Smith city, Arkansas",87362
1600000US0685292,"Whittier city, California",87348
1600000US3350260,"Nashua city, New Hampshire",87258
1600000US0651182,"Newport Beach city, California",87242
1600000US1810342,"Carmel city, Indiana",87015
1600000US1217200,"Deltona city, Florida",86907
1600000US0641992,"Livermore city, California",86856
1600000US5176432,"Suffolk city, Virginia",86806
1600000US4870808,"Sugar Land city, Texas",86775
1600000US2706616,"Bloomington city, Minnesota",86319
1600000US2717000,"Duluth city, Minnesota",86242
1600000US0613588,"Citrus Heights city, California",86147
1600000US3413690,"Clifton city, New Jersey",85920
1600000US0680238,"Tracy city, California",85835
1600000US5335940,"Kirkland city, Washington",85778
1600000US0636448,"Indio city, California",85639
1600000US0600884,"Alhambra city, California",85585
1600000US3714100,"Concord city, North Carolina",85571
1600000US0646842,"Menifee city, California",85201
1600000US2432025,"Germantown CDP, Maryland",85021
1600000US1823278,"Fishers town, Indiana",84967
1600000US0613210,"Chino city, California",84743
1600000US1200410,"Alafaya CDP, Florida",84594
1600000US1712385,"Champaign city, Illinois",84520
1600000US1714351,"Cicero town, Illinois",84359
1600000US0135896,"Hoover city, Alabama",84352
1600000US4955980,"Ogden city, Utah",84325
1600000US4843888,"Longview city, Texas",84313
1600000US4105800,"Bend city, Oregon",84075
1600000US3474000,"Trenton city, New Jersey",84047
1600000US2954074,"O'Fallon city, Missouri",83999
1600000US0918430,"Danbury city, Connecticut",83795
1600000US1805860,"Bloomington city, Indiana",83423
1600000US5305280,"Bellingham city, Washington",83363
1600000US2680700,"Troy city, Michigan",83120
1600000US0608786,"Buena Park city, California",83114
1600000US1342425,"Johns Creek city, Georgia",83108
1600000US0633182,"Hemet city, California",83040
1600000US4822660,"Edinburg city, Texas",83017
1600000US0660102,"Redwood City city, California",82868
1600000US4848768,"Mission city, Texas",82429
1600000US1254200,"Palm Coast city, Florida",82388
1600000US2686000,"Westland city, Michigan",82318
1600000US4474300,"Warwick city, Rhode Island",81964
1600000US0646898,"Merced city, California",81739
1600000US0639892,"Lakewood city, California",81641
1600000US2627440,"Farmington Hills city, Michigan",81440
1600000US1973335,"Sioux City city, Iowa",81392
1600000US1260950,"Riverview CDP, Florida",81226
